"","genes","R2losePvalue","R2gainPvalue","AshiftPvalue","phasePvalue","intshiftPvalue"
"1","ENSG00000000003",0.469014995376275,0.530985004623725,0.609527896476903,0.801379260324809,0.887060217224435
"2","ENSG00000000419",0.266380982889194,0.733619017110806,0.369335936319515,0.156795667599471,0.446011205734628
"3","ENSG00000000457",0.964563526361279,0.0354364736387208,0.25561042242114,0.692857704093659,0.167868432345528
"4","ENSG00000000460",0.934602994239986,0.0653970057600135,0.36894307075811,0.599802962810742,0.0855479870173043
"5","ENSG00000000938",0.920792258735215,0.0792077412647854,0.0394134819372502,0.573257339030891,0.0181383007657856
"6","ENSG00000000971",0.693238481483944,0.306761518516056,0.242271125590054,0.467274298734973,0.1929272110776
"7","ENSG00000001036",0.680956899625871,0.319043100374129,0.434479090486005,0.781766202682365,0.466651757922285
"8","ENSG00000001084",0.839940526198089,0.160059473801911,0.390429794924177,0.0949163196354208,0.633849296770645
"9","ENSG00000001167",0.281612078500583,0.718387921499417,0.55467782001922,0.363581966866323,0.630404168001402
"10","ENSG00000001460",0.276952088533765,0.723047911466235,0.285873158820436,0.442578165136506,0.421967833376649
"11","ENSG00000001461",0.34803657880581,0.65196342119419,0.890148744945633,0.568651745834114,0.824503931677657
"12","ENSG00000001497",0.0104985766178506,0.989501423382149,0.161232026400566,0.697553958573838,0.266368894718074
"13","ENSG00000001561",0.126430181745653,0.873569818254347,0.390750131458861,0.794555487727484,0.288188043589945
"14","ENSG00000001617",0.630561314225964,0.369438685774036,0.415077575838164,0.89067458038936,0.596309481357018
"15","ENSG00000001626",0.182325885005228,0.817674114994772,0.635354274075104,0.946618636333416,0.867833981057836
"16","ENSG00000001629",0.32473662897172,0.67526337102828,0.826153967035557,0.233017630597579,0.621035835383286
"17","ENSG00000001630",0.0150618612157074,0.984938138784293,0.017195423418414,0.611643326422929,0.616067597052904
"18","ENSG00000001631",0.0312479223455887,0.968752077654411,0.562625792530719,0.693304966425105,0.716441725949073
"19","ENSG00000002016",0.00642486295035993,0.99357513704964,0.0611963662957613,0.398547001831358,0.945264761167959
"20","ENSG00000002330",0.213193029960532,0.786806970039468,0.106285244573922,0.894004871532961,0.845174704293114
"21","ENSG00000002549",0.18565617614883,0.81434382385117,0.727357344470568,0.353844945029042,0.563961535439496
"22","ENSG00000002586",0.998235127016458,0.001764872983542,0.010607370157932,0.571105644571505,0.457005397368405
"23","ENSG00000002587",0.239611727943621,0.760388272056379,0.427159702872754,0.00781500262917723,0.161177629630525
"24","ENSG00000002745",0.111265571075424,0.888734428924576,0.0953817142235466,0.449045336685786,0.00168025578570086
"25","ENSG00000002746",0.208817112015038,0.791182887984962,0.50807792035104,0.777106212715547,0.921723047911466
"26","ENSG00000002834",0.70742395029344,0.29257604970656,0.59567485237321,0.419054584136693,0.736828426543206
"27","ENSG00000002919",0.254504354763646,0.745495645236354,0.523877160005077,0.86575481562517,0.384452194305263
"28","ENSG00000002933",0.601392557313041,0.398607442686959,0.965518491879771,0.768167010172196,0.396498056826492
"29","ENSG00000003056",0.0165910148624064,0.983408985137594,0.0883766190594194,0.705925017074542,0.462142870094469
"30","ENSG00000003096",0.0584583955370472,0.941541604462953,0.0355452671788021,0.911774483079582,0.837752567225342
"31","ENSG00000003137",0.243383237333108,0.756616762666892,0.292322198113037,0.968782298082212,0.0524626626614526
"32","ENSG00000003147",0.910323902545164,0.0896760974548356,0.345207946763694,0.264718859360173,0.601090353035038
"33","ENSG00000003249",0.35047838937208,0.64952161062792,0.534121885029404,0.901547890311935,0.282295060168872
"34","ENSG00000003393",0.0134118258578068,0.986588174142193,0.56909900816556,0.626813981178718,0.904479271808572
"35","ENSG00000003400",0.794078004968238,0.205921995031762,0.0885035448561809,0.251524620582529,0.448090371167294
"36","ENSG00000003402",0.391958948570876,0.608041051429124,0.973696139642553,0.923089011248043,0.630543181969284
"37","ENSG00000003436",0.46949247813552,0.530507521864479,0.492109446301322,0.221981130364881,0.250618007748518
"38","ENSG00000003509",0.898386833564016,0.101613166435984,0.613160391898508,0.765429039413482,0.221642661573517
"39","ENSG00000003756",0.163891424046999,0.836108575953001,0.484469722153387,0.804866697692973,0.417072124072988
"40","ENSG00000003987",0.247801463877523,0.752198536122477,0.781294764008679,0.133084719947296,0.477059673256735
"41","ENSG00000003989",0.63343829895256,0.36656170104744,0.341285335235206,0.646161099056518,0.00957987561271922
"42","ENSG00000004059",0.326978984714508,0.673021015285492,0.645188001281346,0.751751273791032,0.832917298777281
"43","ENSG00000004139",0.463152232383002,0.536847767616998,0.9019467999589,0.638563683507504,0.454545454545455
"44","ENSG00000004142",0.912022290587546,0.0879777094124544,0.541586330696097,0.653003003910523,0.704704111791407
"45","ENSG00000004399",0.744510459290062,0.255489540709938,0.246876718786831,0.281219212939178,0.556666324168485
"46","ENSG00000004455",0.173580093199799,0.826419906800201,0.671939123970239,0.10531214679875,0.837202555439375
"47","ENSG00000004468",0.623338631981674,0.376661368018326,0.125831817275205,0.174323515723689,0.671594611093315
