"","coefficient","sd","obs.p","corrected.p","p.BH"
"ENSG00000003989",0.430669778840308,0.0984721316416336,4.23394036342213e-05,1.99322304165836e-05,0.00132881536110557
"ENSG00000000457",-0.145570916449414,0.0345015147079885,7.22643742625827e-05,2.65763072221115e-05,0.00132881536110557
"ENSG00000004864",-0.253370720220039,0.0621812958553841,0.000119865472892005,5.3152614444223e-05,0.00166101920138197
"ENSG00000000460",-0.189431163398748,0.0472350925877279,0.000151411912998209,6.64407680552787e-05,0.00166101920138197
"ENSG00000003509",-0.117817749154725,0.0302007685243641,0.000219654330701818,0.000112949305693974,0.00225898611387948
"ENSG00000005175",-0.126393494952569,0.0339280101703349,0.00039506068566657,0.000239186764999003,0.00398644608331672
"ENSG00000004534",-0.15350615233749,0.0429958397456599,0.000654721345404942,0.000325559763470866,0.00465085376386951
"ENSG00000002745",-0.838452855612888,0.248543479323488,0.00122890184119224,0.000737492525413594,0.00921865656766992
"ENSG00000001497",-0.144976034632948,0.0472717609903855,0.00308840005569406,0.00188691781276992,0.0209657534752213
"ENSG00000003756",-0.0930525757706515,0.0309508046044735,0.00370092763867252,0.00237193541957345,0.0237193541957345
"ENSG00000004799",0.374529762034586,0.126399882083764,0.00417675877673412,0.00277058002790512,0.0251870911627738
"ENSG00000000938",0.322881000607436,0.125271304352004,0.0120930683211433,0.00914224968440635,0.0761854140367196
"ENSG00000002587",-0.21213157407975,0.0857675701917254,0.0158521024756983,0.0125041525480035,0.0961857888307958
"ENSG00000004897",-0.0688648419326892,0.0297297867785686,0.0235150466943196,0.0189954155870042,0.127317121785928
"ENSG00000003137",0.24739076501515,0.107524350432501,0.0244761207299574,0.0198724337253339,0.127317121785928
"ENSG00000005436",-0.0971784538846593,0.0424212007459135,0.0249901901017175,0.0203707394857485,0.127317121785928
"ENSG00000001629",-0.0524552695843077,0.0231441753688627,0.0265621445840641,0.0218789449206033,0.128699676003549
"ENSG00000005812",-0.0687818801357162,0.0345997307833976,0.0507886624683952,0.043751245764401,0.23866223261962
"ENSG00000004848",-0.133640668052808,0.067699854927562,0.0523846391469842,0.0453458241977277,0.23866223261962
"ENSG00000001167",-0.0485836189497818,0.0260278123475622,0.0662064414518621,0.0583084180453126,0.291542090226563
"ENSG00000006016",-0.403565875520367,0.223623574562292,0.0754281988195251,0.0672978539631918,0.320465971253294
"ENSG00000004777",-0.165068707414477,0.0957651118529273,0.0893092389499393,0.0806989568799415,0.34079684627821
"ENSG00000004478",0.111678063232375,0.0650624135758665,0.090561500178008,0.0817686532456315,0.34079684627821
"ENSG00000005486",0.105336296083722,0.0622468500259149,0.0951126563666769,0.0861537439372799,0.34079684627821
"ENSG00000003249",-0.110389230932383,0.0662203997015928,0.100048137959164,0.0911235133878148,0.34079684627821
"ENSG00000003056",-0.046898669312699,0.0282263866354348,0.101146657980948,0.0921732775230882,0.34079684627821
"ENSG00000005156",-0.051778831742987,0.0314358687759262,0.104146157096347,0.0951431798551591,0.34079684627821
"ENSG00000001561",-0.0862755493128405,0.0530579678473987,0.108562372579628,0.0995415587004186,0.34079684627821
"ENSG00000005007",0.0945852118786445,0.0585578380291728,0.110821629645064,0.101587934356521,0.34079684627821
"ENSG00000005893",-0.114178650146894,0.0708538079456926,0.111577949605599,0.102239053883463,0.34079684627821
"ENSG00000005801",-0.0504513080000744,0.0323126275223758,0.122951262488305,0.113467543684805,0.366024334467113
"ENSG00000005884",-0.0820150305077303,0.0546289638231492,0.137837866485967,0.128263902730716,0.38478975405191
"ENSG00000001460",-0.0764544799901931,0.0511474915464454,0.139530255647233,0.130017939007375,0.38478975405191
"ENSG00000001631",0.0487672012628752,0.0326984496390411,0.140408532878364,0.130828516377649,0.38478975405191
"ENSG00000006042",-0.13071796638769,0.0892160289696182,0.147347852592205,0.137685203640954,0.393273979580537
"ENSG00000004139",-0.0781794385192007,0.0538888679881556,0.151446143636309,0.141578632648993,0.393273979580537
"ENSG00000005194",0.0611600121208504,0.046172053608775,0.189670721591567,0.179802006511195,0.485951368949176
"ENSG00000005206",-0.106821271670877,0.0823291863339709,0.198783975369311,0.188897747657963,0.497099335942008
"ENSG00000004455",-0.0374962898960197,0.0303714922219499,0.221171741044815,0.210079064513986,0.529146637865366
"ENSG00000005981",0.108055950781386,0.088743208873012,0.227574982414095,0.216351073018404,0.529146637865366
"ENSG00000005020",-0.0950807594316606,0.0792322613927376,0.234293523806346,0.222995149823932,0.529146637865366
"ENSG00000003393",-0.0268572067750934,0.0223931420228169,0.234554494137208,0.223240980665736,0.529146637865366
"ENSG00000002549",0.0634231837166479,0.0533941345322634,0.238915006646469,0.227533054282107,0.529146637865366
"ENSG00000005108",-0.0520666170743313,0.044467202666279,0.245726135010577,0.234662148694439,0.533323065214634
"ENSG00000004700",-0.0509660879528916,0.0447711558259318,0.258903646555638,0.248495116603548,0.535844794365823
"ENSG00000002919",0.0832710158677496,0.0733286061458944,0.260002630062347,0.249578101122849,0.535844794365823
"ENSG00000000419",-0.0512908529319607,0.045747902000891,0.266105372418459,0.255703939937546,0.535844794365823
"ENSG00000005243",0.112527361358899,0.100677863341103,0.267572915564742,0.257205501295595,0.535844794365823
"ENSG00000000971",0.111707612869929,0.103828733891862,0.285781870866207,0.274772440369411,0.560760082386552
"ENSG00000004975",-0.065968542444072,0.0639963116701637,0.306278755818134,0.295448807388213,0.590897614776427
"ENSG00000005483",-0.0432661426954958,0.0448757355940659,0.33834656344552,0.327679223971829,0.630778430260192
"ENSG00000003402",0.0469701763081231,0.0487479612620748,0.338645827258543,0.3280047837353,0.630778430260192
"ENSG00000001084",-0.0304199674961019,0.03286929332039,0.357940411854902,0.347026775629526,0.654767501187785
"ENSG00000005882",-0.0417697964183732,0.0458367835492659,0.36537104915004,0.354468141651717,0.656422484540218
"ENSG00000001036",-0.0610768459441822,0.0710043719324235,0.392624016631047,0.381775297322437,0.663777056313618
"ENSG00000003096",0.0535221911635046,0.0623402924578629,0.393562127126641,0.382639027307156,0.663777056313618
"ENSG00000004866",0.0237779567131214,0.0277123627146288,0.393848226087654,0.382957942993821,0.663777056313618
"ENSG00000004142",-0.0246076196774232,0.0288462372041152,0.396576706783804,0.385735167098532,0.663777056313618
"ENSG00000004779",0.0623116212004672,0.0740229117962769,0.402814601499197,0.391628463225035,0.663777056313618
"ENSG00000002834",0.0285793886075019,0.0346643167530187,0.412518497010094,0.401760680353465,0.669601133922442
"ENSG00000003987",-0.0335948070267394,0.0418686742083285,0.425085177168714,0.414271476978274,0.670418493787788
"ENSG00000003147",-0.0299407981541955,0.0380712555708942,0.434301844622422,0.423639625274068,0.670418493787788
"ENSG00000001617",0.0671812729918236,0.0863917697673613,0.439442365822697,0.428489801342104,0.670418493787788
"ENSG00000002933",0.0763108884540238,0.0982394434071375,0.439940726777756,0.429067836024184,0.670418493787788
"ENSG00000003400",-0.0673634206674968,0.0907373667759567,0.460364930959123,0.449837220118265,0.690963854208821
"ENSG00000005075",-0.0497921305798109,0.0679803331696687,0.466340010192946,0.456036143777822,0.690963854208821
"ENSG00000006025",-0.0488229944410889,0.072102062061295,0.500582864821822,0.49023985117268,0.722455416290495
"ENSG00000002016",-0.0388104849985227,0.0574463835057721,0.501588965556182,0.491269683077536,0.722455416290495
"ENSG00000006015",-0.0449572564715842,0.0684790210552769,0.513647636440479,0.503169224636237,0.729230760342372
"ENSG00000003436",-0.0644913885237362,0.102071328801456,0.529618629897384,0.519380772041725,0.734035809778285
"ENSG00000004660",0.0439156069018151,0.0705567089717957,0.535720068265515,0.52561291608531,0.734035809778285
"ENSG00000004838",-0.130286121017743,0.211034319657258,0.538994281500439,0.528948242641685,0.734035809778285
"ENSG00000005469",0.0302458419373461,0.0504475738258544,0.55074193976889,0.541133479503023,0.734035809778285
"ENSG00000001630",0.0564179610743002,0.0945990778178907,0.552866251819221,0.543186499235931,0.734035809778285
"ENSG00000005022",0.0314806912382131,0.0569032532329894,0.581892826867284,0.57294531924789,0.763927092330521
"ENSG00000005339",-0.0371768301228148,0.0754185568832706,0.623643004706404,0.615082054348548,0.80830802975511
"ENSG00000002586",-0.0541057847870173,0.112037876709137,0.630678412305759,0.622397182911434,0.80830802975511
